block_height, reward, total_reward
13307242,508.46830536,14495186698.80474817,2021-07-17
13343600,502.79379907,14513673583.77652076,2021-07-23
13518800,497.18262027,14601763051.76240596,2021-08-22
13694000,491.63406222,14688869441.28515191,2021-09-22
13869200,486.14742608,14775003723.49945977,2021-10-22
14044400,480.72202080,14860176747.12327049,2021-11-22
14219600,475.35716304,14944399239.80257273,2021-12-22
14394800,470.05217710,15027681809.46219479,2022-01-21
14570000,464.80639480,15110034945.64433249,2022-02-21
14745200,459.61915543,15191469020.82605312,2022-03-23
14920400,454.48980565,15271994291.72803934,2022-04-23
15095600,449.41769941,15351620900.60581310,2022-05-23
15270800,444.40219788,15430358876.52694357,2022-06-22
15446000,439.44266935,15508218136.63599104,2022-07-23
15621200,434.53848916,15585208487.40193085,2022-08-22
15796400,429.68903962,15661339625.85331331,2022-09-22
15971600,424.89370993,15736621140.79940762,2022-10-22
16146800,420.15189612,15811062514.03732981,2022-11-22
16322000,415.46300095,15884673121.54865864,2022-12-22
16497200,410.82643385,15957462234.67853154,2023-01-21
16672400,406.24161084,16029439021.30422853,2023-02-21
16847600,401.70795446,16100612546.98974015,2023-03-23
17022800,397.22489368,16170991776.12807137,2023-04-23
17198000,392.79186386,16240585573.06777755,2023-05-23
17373200,384.00000000,16309402698.82418569,2023-06-22
17548400,381.20507578,16376679496.02926147,2023-07-23
17723600,378.41063324,16443466622.51147493,2023-08-22
17898800,375.61667185,16509764162.66116154,2023-09-22
18074000,372.82319108,16575572200.77580077,2023-10-22
18249200,370.03019038,16640890821.06001607,2023-11-22
18424400,367.23766921,16705720107.62207090,2023-12-22
18599600,364.44562704,16770060144.47562073,2024-01-21
18774800,361.65406333,16833911015.54146502,2024-02-21
18950000,358.86297755,16897272804.64579524,2024-03-22
19125200,356.07236916,16960145595.52194685,2024-04-22
19300400,353.28223763,17022529471.80864732,2024-05-22
19475600,350.49258242,17084424517.05176811,2024-06-21
19650800,347.70340300,17145830814.70257269,2024-07-22
19826000,344.91469883,17206748448.11946852,2024-08-21
20001200,342.12646938,17267177500.56625507,2024-09-21
20176400,339.33871413,17327118055.21387582,2024-10-21
20351600,336.55143254,17386570195.14217023,2024-11-21
20526800,333.76462408,17445534003.33636977,2024-12-21
20702000,330.97828822,17504009562.68884991,2025-01-20
